C:\Users\Ranit\Anaconda3\python.exe E:/StudyFIle/MLProject/CharSCNN-theano-1/charscnn.py
C:\Users\Ranit\Anaconda3\lib\site-packages\sklearn\cross_validation.py:44: DeprecationWarning: This module was deprecated in version 0.18 in favor of the model_selection module into which all the refactored classes and functions are moved. Also note that the interface of the new CV iterators are different from that of this module. This module will be removed in 0.20.
  "This module will be removed in 0.20.", DeprecationWarning)
counter#257  epoch: 1, test mean loss=0.5175129148119157, test accuracy=0.7370000000000004

counter#258  epoch: 1, test mean loss=0.5186214353426547, test accuracy=0.7360000000000003

counter#259  epoch: 1, test mean loss=0.5177579875374128, test accuracy=0.7350000000000003

counter#260  epoch: 1, test mean loss=0.518999778683987, test accuracy=0.7370000000000003

counter#261  epoch: 1, test mean loss=0.5208835446445537, test accuracy=0.7360000000000001

counter#262  epoch: 1, test mean loss=0.5174059801139237, test accuracy=0.7330000000000002

counter#263  epoch: 1, test mean loss=0.5154544860283914, test accuracy=0.7320000000000003

counter#264  epoch: 1, test mean loss=0.5197183394151044, test accuracy=0.7360000000000001

counter#265  epoch: 1, test mean loss=0.5156072182885039, test accuracy=0.7315000000000005

counter#266  epoch: 1, test mean loss=0.5145908570806119, test accuracy=0.7365

counter#267  epoch: 1, test mean loss=0.5232952479062207, test accuracy=0.7350000000000001

counter#268  epoch: 1, test mean loss=0.5180660719315422, test accuracy=0.7380000000000001

counter#269  epoch: 1, test mean loss=0.5128015723070528, test accuracy=0.7360000000000002

counter#270  epoch: 1, test mean loss=0.5130611247082801, test accuracy=0.7345

counter#271  epoch: 1, test mean loss=0.5123458052705464, test accuracy=0.7370000000000002

counter#272  epoch: 1, test mean loss=0.5121448840072403, test accuracy=0.7380000000000001

counter#273  epoch: 1, test mean loss=0.5132196937125627, test accuracy=0.74

counter#274  epoch: 1, test mean loss=0.5126415457560727, test accuracy=0.7370000000000002

counter#275  epoch: 1, test mean loss=0.5117060122852753, test accuracy=0.7404999999999998

counter#276  epoch: 1, test mean loss=0.5129361248702414, test accuracy=0.7410000000000003

counter#277  epoch: 1, test mean loss=0.5124855550092238, test accuracy=0.7390000000000001

counter#278  epoch: 1, test mean loss=0.5137811280062782, test accuracy=0.7395000000000002

counter#279  epoch: 1, test mean loss=0.5126916287367611, test accuracy=0.7435

counter#280  epoch: 1, test mean loss=0.5125101472003274, test accuracy=0.7395000000000003

counter#281  epoch: 1, test mean loss=0.5128586370091968, test accuracy=0.74

counter#282  epoch: 1, test mean loss=0.5141684867054824, test accuracy=0.7355000000000003

counter#283  epoch: 1, test mean loss=0.5146335883342831, test accuracy=0.7375000000000003

counter#284  epoch: 1, test mean loss=0.5221354575922995, test accuracy=0.7275000000000005

counter#285  epoch: 1, test mean loss=0.5171783181358532, test accuracy=0.7345000000000006

counter#286  epoch: 1, test mean loss=0.5161464958478641, test accuracy=0.7369999999999999

counter#287  epoch: 1, test mean loss=0.5182689535186312, test accuracy=0.7360000000000001

counter#288  epoch: 1, test mean loss=0.5140814255343097, test accuracy=0.7399999999999999

counter#289  epoch: 1, test mean loss=0.5165859759027951, test accuracy=0.7355000000000003

